paper_id,title,authors,published,file_path,json_file_path,extraction_status,sections_count,figures_count,tables_count,citations_count,error_message
2001.09177v2,Recognizing Developers' Emotions while Programming,"Daniela Girardi, Nicole Novielli, Davide Fucci, Filippo Lanubile",2020-01-24 19:52:44+00:00,././arvix_papers/2001.09177v2.pdf,extracted_data/2001.09177v2.json,Success - Previously Extracted,23,13,1,58,
2001.07739v3,EMOPAIN Challenge 2020: Multimodal Pain Evaluation from Facial and Bodily Expressions,"Joy O. Egede, Siyang Song, Temitayo A. Olugbade, Chongyang Wang, Amanda Williams, Hongying Meng, Min Aung, Nicholas D. Lane, Michel Valstar, Nadia Bianchi-Berthouze",2020-01-21 19:09:08+00:00,././arvix_papers/2001.07739v3.pdf,extracted_data/2001.07739v3.json,Success - Previously Extracted,14,0,6,58,
2001.06612v2,Deep Metric Structured Learning For Facial Expression Recognition,"Pedro D. Marrero Fernandez, Tsang Ing Ren, Tsang Ing Jyh, Fidel A. Guerrero Peña, Alexandre Cunha",2020-01-18 06:23:18+00:00,././arvix_papers/2001.06612v2.pdf,extracted_data/2001.06612v2.json,Success - Previously Extracted,18,21,1,36,
2001.06144v1,Learning to Augment Expressions for Few-shot Fine-grained Facial Expression Recognition,"Wenxuan Wang, Yanwei Fu, Qiang Sun, Tao Chen, Chenjie Cao, Ziqi Zheng, Guoqiang Xu, Han Qiu, Yu-Gang Jiang, Xiangyang Xue",2020-01-17 03:26:32+00:00,././arvix_papers/2001.06144v1.pdf,extracted_data/2001.06144v1.json,Success - Previously Extracted,38,37,1,76,
2001.06103v1,An adversarial learning framework for preserving users' anonymity in face-based emotion recognition,"Vansh Narula, Zhangyang, Wang, Theodora Chaspari",2020-01-16 22:45:52+00:00,././arvix_papers/2001.06103v1.pdf,extracted_data/2001.06103v1.json,Success - Previously Extracted,13,5,6,23,
2001.05908v1,Speech Emotion Recognition Based on Multi-feature and Multi-lingual Fusion,Chunyi Wang,2020-01-16 15:53:13+00:00,././arvix_papers/2001.05908v1.pdf,extracted_data/2001.05908v1.json,Success - Previously Extracted,15,7,10,22,
2001.05488v2,EEV: A Large-Scale Dataset for Studying Evoked Expressions from Video,"Jennifer J. Sun, Ting Liu, Alan S. Cowen, Florian Schroff, Hartwig Adam, Gautam Prasad",2020-01-15 18:59:51+00:00,././arvix_papers/2001.05488v2.pdf,extracted_data/2001.05488v2.json,Success - Previously Extracted,22,19,2,52,
2001.04316v2,Visually Guided Self Supervised Learning of Speech Representations,"Abhinav Shukla, Konstantinos Vougioukas, Pingchuan Ma, Stavros Petridis, Maja Pantic",2020-01-13 14:53:22+00:00,././arvix_papers/2001.04316v2.pdf,extracted_data/2001.04316v2.json,Success - Previously Extracted,9,5,2,27,
2001.03855v1,Hyperparameters optimization for Deep Learning based emotion prediction for Human Robot Interaction,"Shruti Jaiswal, Gora Chand Nandi",2020-01-12 05:25:02+00:00,././arvix_papers/2001.03855v1.pdf,extracted_data/2001.03855v1.json,Success - Previously Extracted,29,29,2,33,
2001.02329v1,Emo-CNN for Perceiving Stress from Audio Signals: A Brain Chemistry Approach,"Anup Anand Deshmukh, Catherine Soladie, Renaud Seguier",2020-01-08 01:01:48+00:00,././arvix_papers/2001.02329v1.pdf,extracted_data/2001.02329v1.json,Success - Previously Extracted,4,2,1,4,
2001.01456v2,Facial Emotions Recognition using Convolutional Neural Net,Faisal Ghaffar,2020-01-06 09:43:06+00:00,././arvix_papers/2001.01456v2.pdf,extracted_data/2001.01456v2.json,Success,11,24,2,22,
2001.00378v2,"Deep Representation Learning in Speech Processing: Challenges, Recent Advances, and Future Trends","Siddique Latif, Rajib Rana, Sara Khalifa, Raja Jurdak, Junaid Qadir, Björn W. Schuller",2020-01-02 10:12:23+00:00,././arvix_papers/2001.00378v2.pdf,extracted_data/2001.00378v2.json,Success,41,6,7,389,
2001.00191v1,Ensemble emotion recognizing with multiple modal physiological signals,"Jing Zhang, Yong Zhang, Suhua Zhan, Cheng Cheng",2020-01-01 11:44:43+00:00,././arvix_papers/2001.00191v1.pdf,extracted_data/2001.00191v1.json,Success,9,9,22,33,
